  epoch    kl       lr    tr_loss    tr_acc    te_loss    te_acc    sp_0    sp_1    sp_2    time
     61     1  2.3e-05    2.9e+02      95.7    2.9e+02      96.8   0.945   0.888   0.031   12.66
     62     1  2.2e-05    2.9e+02      95.7    2.9e+02      96.7   0.945   0.888   0.029   12.57
     63     1  2.1e-05    2.9e+02      95.7    2.9e+02      96.8   0.946   0.889   0.029   12.60
     64     1  2.0e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.889   0.030   12.66
     65     1  1.9e-05    2.9e+02      95.8    2.9e+02      96.7   0.946   0.890   0.030   12.74
     66     1  1.8e-05    2.9e+02      95.9    2.9e+02      96.8   0.946   0.890   0.030   12.76
     67     1  1.7e-05    2.9e+02      95.8    2.9e+02      96.7   0.946   0.890   0.030   12.66
     68     1  1.6e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.890   0.030   12.92
     69     1  1.5e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.890   0.032   12.71
     70     1  1.5e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.891   0.032   12.60
     71     1  1.4e-05    2.9e+02      95.7    2.9e+02      96.8   0.946   0.891   0.033   12.58
     72     1  1.3e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.892   0.032   12.54
     73     1  1.2e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.892   0.031   12.77
     74     1  1.2e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.892   0.032   12.65
     75     1  1.1e-05    2.9e+02      95.7    2.9e+02      96.8   0.946   0.892   0.032   12.55
     76     1  1.1e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.892   0.033   12.55
     77     1  1.0e-05    2.9e+02      95.8    2.9e+02      96.8   0.946   0.893   0.032   12.58
     78     1  9.6e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.893   0.033   12.62
     79     1  9.1e-06    2.9e+02      95.7    2.9e+02      96.8   0.946   0.893   0.033   12.58
     80     1  8.7e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.893   0.033   12.53
     81     1  8.3e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.893   0.032   12.64
     82     1  7.8e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.893   0.033   12.65
     83     1  7.5e-06    2.9e+02      95.7    2.9e+02      96.8   0.946   0.893   0.033   12.87
     84     1  7.1e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.894   0.033   12.78
     85     1  6.7e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.894   0.033   12.76
     86     1  6.4e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.894   0.033   12.92
     87     1  6.1e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.894   0.033   12.72
     88     1  5.8e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.894   0.033   12.68
     89     1  5.5e-06    2.9e+02      95.7    2.9e+02      96.8   0.946   0.894   0.033   12.59
     90     1  5.2e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.894   0.033   13.02
     91     1  4.9e-06    2.9e+02      95.9    2.9e+02      96.8   0.946   0.894   0.032   12.67
     92     1  4.7e-06    2.9e+02      95.7    2.9e+02      96.8   0.946   0.895   0.033   12.71
     93     1  4.5e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.894   0.032   12.66
     94     1  4.2e-06    2.9e+02      95.7    2.9e+02      96.8   0.946   0.895   0.033   12.79
     95     1  4.0e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.895   0.032   12.84
     96     1  3.8e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.894   0.032   12.70
     97     1  3.6e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.894   0.032   12.86
     98     1  3.5e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.895   0.031   12.60
     99     1  3.3e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.895   0.032   12.61
    100     1  3.1e-06    2.9e+02      95.8    2.9e+02      96.8   0.946   0.895   0.031   12.91
