  epoch    kl       lr    tr_loss    tr_acc    te_loss    te_acc    sp_0    sp_1    sp_2    time
     61     1  2.3e-05   4.05e+01      97.9   4.18e+01      97.7   0.973   0.913   0.331   12.39
     62     1  2.2e-05   4.04e+01      97.9   4.20e+01      97.7   0.973   0.914   0.333   12.41
     63     1  2.1e-05   4.02e+01      98.0   4.14e+01      97.7   0.973   0.914   0.333   12.41
     64     1  2.0e-05   4.01e+01      98.0   4.18e+01      97.7   0.973   0.914   0.333   12.43
     65     1  1.9e-05   4.02e+01      98.0   4.13e+01      97.7   0.973   0.914   0.336   12.40
     66     1  1.8e-05   4.01e+01      97.9   4.16e+01      97.7   0.973   0.914   0.336   12.41
     67     1  1.7e-05   4.01e+01      97.9   4.11e+01      97.8   0.973   0.914   0.336   12.43
     68     1  1.6e-05   4.00e+01      97.9   4.11e+01      97.7   0.973   0.915   0.337   12.45
     69     1  1.5e-05   4.01e+01      98.0   4.12e+01      97.7   0.973   0.915   0.337   12.42
     70     1  1.5e-05   3.98e+01      98.0   4.10e+01      97.7   0.973   0.915   0.337   12.41
     71     1  1.4e-05   3.99e+01      98.0   4.10e+01      97.8   0.973   0.915   0.337   12.39
     72     1  1.3e-05   3.99e+01      97.9   4.08e+01      97.7   0.973   0.915   0.338   12.41
     73     1  1.2e-05   4.00e+01      97.9   4.12e+01      97.8   0.973   0.915   0.338   12.40
     74     1  1.2e-05   3.97e+01      98.0   4.09e+01      97.7   0.973   0.915   0.340   12.68
     75     1  1.1e-05   3.97e+01      97.9   4.07e+01      97.7   0.973   0.915   0.340   12.50
     76     1  1.1e-05   3.96e+01      98.0   4.09e+01      97.8   0.973   0.915   0.340   12.43
     77     1  1.0e-05   3.95e+01      98.0   4.08e+01      97.7   0.973   0.916   0.341   12.46
     78     1  9.6e-06   3.95e+01      98.0   4.09e+01      97.7   0.973   0.916   0.342   12.46
     79     1  9.1e-06   3.96e+01      97.9   4.08e+01      97.7   0.973   0.916   0.342   12.72
     80     1  8.7e-06   3.97e+01      97.9   4.08e+01      97.7   0.973   0.916   0.343   12.68
     81     1  8.3e-06   3.96e+01      97.9   4.06e+01      97.8   0.973   0.916   0.343   13.09
     82     1  7.8e-06   3.97e+01      97.9   4.07e+01      97.8   0.973   0.916   0.343   12.56
     83     1  7.5e-06   3.95e+01      97.9   4.08e+01      97.8   0.973   0.916   0.342   12.77
     84     1  7.1e-06   3.95e+01      98.0   4.06e+01      97.8   0.973   0.916   0.342   12.50
     85     1  6.7e-06   3.93e+01      98.0   4.05e+01      97.8   0.973   0.916   0.343   13.06
     86     1  6.4e-06   3.93e+01      98.0   4.06e+01      97.8   0.973   0.916   0.343   12.82
     87     1  6.1e-06   3.93e+01      97.9   4.07e+01      97.7   0.973   0.916   0.344   12.63
     88     1  5.8e-06   3.94e+01      97.9   4.04e+01      97.7   0.973   0.916   0.344   12.40
     89     1  5.5e-06   3.95e+01      98.0   4.07e+01      97.7   0.973   0.916   0.344   12.39
